name,DOI,publication_year,dataset_used,task
three-dimensional nonrigid landmark-based magnetic resonance to transrectal ultrasound registration for image-guided prostate biopsy,10.1117/1.jmi.2.2.025002,2015,PROMISE12,Cardiac
computer aided-diagnosis of prostate cancer on multiparametric mri: a technical review of current research,10.1155/2014/789561,2014,PROMISE12,Cardiac
fully automated segmentation of prostate whole gland and transition zone in diffusion-weighted mri using convolutional neural networks,10.1117/1.jmi.4.4.041307,2017,PROMISE12,Cardiac
automatic magnetic resonance prostate segmentation by deep learning with holistically nested networks,10.1117/1.jmi.4.4.041302,2017,PROMISE12,Cardiac
visual saliency-based active learning for prostate magnetic resonance imaging segmentation,10.1117/1.jmi.3.1.014003,2016,PROMISE12,Cardiac
isles 2015 - a public evaluation benchmark for ischemic stroke lesion segmentation from multispectral mri,10.1016/j.media.2016.07.009,2017,PROMISE12,Cardiac
postediting prostate magnetic resonance imaging segmentation consistency and operator time using manual and computer-assisted segmentation: multiobserver study,10.1117/1.jmi.3.4.046002,2016,PROMISE12,Cardiac
none,10.3969/j.issn.1673-4254.2017.03.12,2017,PROMISE12,Cardiac
mask-adapted background field removal for artifact reduction in quantitative susceptibility mapping of the prostate,10.18383/j.tom.2017.00005,2017,PROMISE12,Cardiac
label-driven magnetic resonance imaging (mri)-transrectal ultrasound (trus) registration using weakly supervised learning for mri-guided prostate radiotherapy,10.1088/1361-6560/ab8cd6,2020,PROMISE12,Cardiac
deep dense multi-path neural network for prostate segmentation in magnetic resonance imaging,10.1007/s11548-018-1841-4,2018,PROMISE12,Cardiac
cancer diagnosis using deep learning: a bibliographic review,10.3390/cancers11091235,2019,PROMISE12,Cardiac
registration of presurgical mri and histopathology images from radical prostatectomy via rapsodi,10.1002/mp.14337,2020,PROMISE12,Cardiac
applications of artificial intelligence to prostate multiparametric mri (mpmri): current and emerging trends,10.3390/cancers12051204,2020,PROMISE12,Cardiac
automatic classification of tissues on pelvic mri based on relaxation times and support vector machine,10.1371/journal.pone.0211944,2019,PROMISE12,Cardiac
a semi-automated usability evaluation framework for interactive image segmentation systems,10.1155/2019/1464592,2019,PROMISE12,Cardiac
prostate zonal segmentation in 1.5t and 3t t2w mri using a convolutional neural network,10.1117/1.jmi.6.1.014501,2019,PROMISE12,Cardiac
measurement of prostate volume with mri (a guide for the perplexed): biproximate method with analysis of precision and accuracy,10.1038/s41598-019-57046-x,2020,PROMISE12,Cardiac
graph‐convolutional‐network‐based interactive prostate segmentation in mr images,10.1002/mp.14327,2020,PROMISE12,Cardiac
evaluation of deep neural networks for semantic segmentation of prostate in t2w mri,10.3390/s20113183,2020,PROMISE12,Cardiac
patch-based label fusion for automatic multi-atlas-based prostate segmentation in mr images,10.1117/12.2216424,2016,PROMISE12,Cardiac
deeply supervised 3d fully convolutional networks with group dilated convolution for automatic<scp>mri</scp>prostate segmentation,10.1002/mp.13416,2019,PROMISE12,Cardiac
active learning strategy and hybrid training for infarct segmentation on diffusion mri with a u-shaped network,10.1117/1.jmi.6.4.044001,2019,PROMISE12,Cardiac
an algorithm for learning shape and appearance models without annotations,10.1016/j.media.2019.04.008,2019,PROMISE12,Cardiac
strainet: spatially varying stochastic residual adversarial networks for mri pelvic organ segmentation,10.1109/tnnls.2018.2870182,2019,PROMISE12,Cardiac
why rankings of biomedical image analysis competitions should be interpreted with care,10.1038/s41467-018-07619-7,2018,PROMISE12,Cardiac
a semiautomatic approach for prostate segmentation in mr images using local texture classification and statistical shape modeling,10.1117/12.2512282,2019,PROMISE12,Cardiac
psnet: prostate segmentation on mri based on a convolutional neural network,10.1117/1.jmi.5.2.021208,2018,PROMISE12,Cardiac
image annotation by eye tracking: accuracy and precision of centerlines of obstructed small-bowel segments placed using eye trackers,10.1007/s10278-018-0169-5,2019,PROMISE12,Cardiac
integration of spatial information in convolutional neural networks for automatic segmentation of intraoperative transrectal ultrasound images,10.1117/1.jmi.6.1.011003,2019,PROMISE12,Cardiac
prostate cancer detection from multi-institution multiparametric mris using deep convolutional neural networks,10.1117/1.jmi.5.4.044507,2018,PROMISE12,Cardiac
prostatex challenges for computerized classification of prostate lesions from multiparametric magnetic resonance images,10.1117/1.jmi.5.4.044501,2018,PROMISE12,Cardiac
segmentation of prostate and prostate zones using deep learning,10.1007/s00066-020-01607-x,2020,PROMISE12,Cardiac
automatic segmentation of prostate mri using convolutional neural networks: investigating the impact of network architecture on the accuracy of volume measurement and mri-ultrasound registration,10.1016/j.media.2019.101558,2019,PROMISE12,Cardiac
generalizing deep learning for medical image segmentation to unseen domains via deep stacked transformation,10.1109/tmi.2020.2973595,2020,PROMISE12,Cardiac
towards a universal mri atlas of the prostate and prostate zones,10.1007/s00066-018-1348-5,2019,PROMISE12,Cardiac
wvale: weak variational autoencoder for localisation and enhancement of covid-19 lung infections,10.1016/j.cmpb.2022.106883,2022,Medical Decathlon,Prostate
survey of supervised learning for medical image processing,10.1007/s42979-022-01166-1,2022,Medical Decathlon,Prostate
<scp>cross‐cohort</scp>            automatic knee            <scp>mri</scp>            segmentation with            <scp>multi‐planar u‐nets</scp>,10.1002/jmri.27978,2022,Medical Decathlon,Prostate
decision support system for liver lesion segmentation based on advanced convolutional neural network architectures,10.3390/bioengineering9090467,2022,Medical Decathlon,Prostate
exploiting the dixon method for a robust breast and fibro-glandular tissue segmentation in breast mri,10.3390/diagnostics12071690,2022,Medical Decathlon,Prostate
a fusion biopsy framework for prostate cancer based on deformable superellipses and nnu-net,10.3390/bioengineering9080343,2022,Medical Decathlon,Prostate
a medical image segmentation method based on multi-dimensional statistical features,10.3389/fnins.2022.1009581,2022,Medical Decathlon,Prostate
efficient contour-based annotation by iterative deep learning for organ segmentation from volumetric medical images,10.1007/s11548-022-02730-z,2022,Medical Decathlon,Prostate
distance-based detection of out-of-distribution silent failures for covid-19 lung lesion segmentation,10.1016/j.media.2022.102596,2022,Medical Decathlon,Prostate
a lightweight neural network with multiscale feature enhancement for liver ct segmentation,10.1038/s41598-022-16828-6,2022,Medical Decathlon,Prostate
multi-modal glioblastoma segmentation: man versus machine,10.1371/journal.pone.0096873,2014,BRATS,Brain
the pediatric template of brain perfusion,10.1038/sdata.2015.3,2015,BRATS,Brain
automated glioblastoma segmentation based on a multiparametric structured unsupervised classification,10.1371/journal.pone.0125143,2015,BRATS,Brain
a deep learning model integrating fcnns and crfs for brain tumor segmentation,10.1016/j.media.2017.10.002,2018,BRATS,Brain
semi-automated segmentation of pre-operative low grade gliomas in magnetic resonance imaging,10.1186/s40644-015-0047-z,2015,BRATS,Brain
pitchperfect: primary intracranial hemorrhage probability estimation using random forests on ct,10.1016/j.nicl.2017.02.007,2017,BRATS,Brain
multi-channel mri segmentation of eye structures and tumors using patient-specific features,10.1371/journal.pone.0173900,2017,BRATS,Brain
brain extraction in pediatric adc maps toward characterizing neuro-development in multi-platform and multi-institution clinical images,10.1016/j.neuroimage.2015.08.002,2015,BRATS,Brain
theoretical model for laser ablation outcome predictions in brain: calibration and validation on clinical mr thermometry images,10.1080/02656736.2017.1319974,2018,BRATS,Brain
a generative probabilistic model and discriminative extensions for brain lesion segmentation— with application to tumor and stroke,10.1109/tmi.2015.2502596,2016,BRATS,Brain
virtual raters for reproducible and objective assessments in radiology,10.1038/srep25007,2016,BRATS,Brain
multiscale cnns for brain tumor segmentation and diagnosis,10.1155/2016/8356294,2016,BRATS,Brain
combining generative models for multifocal glioma segmentation and registration,10.1007/978-3-319-10404-1_95,2014,BRATS,Brain
a deep convolutional neural network-based automatic delineation strategy for multiple brain metastases stereotactic radiosurgery,10.1371/journal.pone.0185844,2017,BRATS,Brain
improved brain tumor segmentation by utilizing tumor growth model in longitudinal brain mri,10.1117/12.2254034,2017,BRATS,Brain
hippocampal subfield and medial temporal cortical persistent activity during working memory reflects ongoing encoding,10.3389/fnsys.2015.00030,2015,BRATS,Brain
a combined random forests and active contour model approach for fully automatic segmentation of the left atrium in volumetric mri,10.1155/2017/8381094,2017,BRATS,Brain
fully automated enhanced tumor compartmentalization: man vs. machine reloaded,10.1371/journal.pone.0165302,2016,BRATS,Brain
semi-automated brain tumor segmentation on multi-parametric mri using regularized non-negative matrix factorization,10.1186/s12880-017-0198-4,2017,BRATS,Brain
multimodal imaging patterns predict survival in recurrent glioblastoma          patients treated with bevacizumab,10.1093/neuonc/now086,2016,BRATS,Brain
disjunctive normal shape models,10.1109/isbi.2015.7164170,2015,BRATS,Brain
a structural and functional magnetic resonance imaging dataset of brain tumour patients,10.1038/sdata.2016.3,2016,BRATS,Brain
automated segmentation of hyperintense regions in flair mri using deep learning,10.18383/j.tom.2016.00166,2016,BRATS,Brain
brain tumor segmentation using holistically nested neural networks in mri images,10.1002/mp.12481,2017,BRATS,Brain
deep convolutional neural networks for computer-aided detection: cnn architectures dataset characteristics and transfer learning,10.1109/tmi.2016.2528162,2016,BRATS,Brain
semiautomated workflow for clinically streamlined glioma parametric response mapping,10.18383/j.tom.2016.00181,2016,BRATS,Brain
a robust statistics driven volume-scalable active contour for segmenting anatomical structures in volumetric medical images with complex conditions,10.1186/s12938-016-0153-6,2016,BRATS,Brain
the successive projection algorithm as an initialization method for brain tumor segmentation using non-negative matrix factorization,10.1371/journal.pone.0180268,2017,BRATS,Brain
assessing variability in brain tumor segmentation to improve volumetric accuracy and characterization of change,10.1109/bhi.2016.7455914,2016,BRATS,Brain
longitudinal multiple sclerosis lesion segmentation: resource and challenge,10.1016/j.neuroimage.2016.12.064,2017,BRATS,Brain
fully automatic acute ischemic lesion segmentation in dwi using convolutional neural networks,10.1016/j.nicl.2017.06.016,2017,BRATS,Brain
deep learning for brain mri segmentation: state of the art and future directions,10.1007/s10278-017-9983-4,2017,BRATS,Brain
effective user interaction in online interactive semantic segmentation of glioblastoma magnetic resonance imaging,10.1117/1.jmi.4.3.034001,2017,BRATS,Brain
groupwise registration of mr brain images with tumors,10.1088/1361-6560/aa7c41,2017,BRATS,Brain
multi-atlas segmentation of biomedical images: a survey,10.1016/j.media.2015.06.012,2015,BRATS,Brain
glioblastoma segmentation: comparison of three different software packages,10.1371/journal.pone.0164891,2016,BRATS,Brain
a novel gbm saliency detection model using multi-channel mri,10.1371/journal.pone.0146388,2016,BRATS,Brain
deep learning based radiomics (dlr) and its usage in noninvasive idh1 prediction for low grade glioma,10.1038/s41598-017-05848-2,2017,BRATS,Brain
combining deep learning with anatomical analysis for segmentation of the portal vein for liver sbrt planning,10.1088/1361-6560/aa9262,2017,BRATS,Brain
isles 2015 - a public evaluation benchmark for ischemic stroke lesion segmentation from multispectral mri,10.1016/j.media.2016.07.009,2017,BRATS,Brain
expertise affects inter-observer agreement at peripheral locations within a brain tumor,10.3389/fpsyg.2017.01628,2017,BRATS,Brain
prognostic imaging biomarkers in glioblastoma: development and independent validation on the basis of multiregion and quantitative analysis of mr images,10.1148/radiol.2015150358,2016,BRATS,Brain
automated brain tumour detection and segmentation using superpixel-based extremely randomized trees in flair mri,10.1007/s11548-016-1483-3,2017,BRATS,Brain
clinical evaluation of a fully-automatic segmentation method for longitudinal brain tumor volumetry,10.1038/srep23376,2016,BRATS,Brain
a model evaluation study for treatment planning of laser-induced thermal therapy,10.3109/02656736.2015.1055831,2015,BRATS,Brain
connectivity precedes function in the development of the visual word form area,10.1038/nn.4354,2016,BRATS,Brain
itk-snap: an interactive tool for semi-automatic segmentation of multi-modality biomedical images,10.1109/embc.2016.7591443,2016,BRATS,Brain
comparison of unsupervised classification methods for brain tumor segmentation using multi-parametric mri,10.1016/j.nicl.2016.09.021,2016,BRATS,Brain
fully automatic gbm segmentation in the tcga-gbm dataset: prognosis and correlation with vasari features,10.1038/srep16822,2015,BRATS,Brain
brain lesions introduction,10.1007/978-3-319-30858-6_1,2016,BRATS,Brain
segmentation of gliomas in pre-operative and post-operative multimodal magnetic resonance imaging volumes based on a hybrid generative-discriminative framework,10.1007/978-3-319-55524-9_18,2016,BRATS,Brain
radiomics in brain tumor: image assessment quantitative feature descriptors and machine-learning approaches,10.3174/ajnr.a5391,2018,BRATS,Brain
low-rank atlas image analyses in the presence of pathologies,10.1109/tmi.2015.2448556,2015,BRATS,Brain
diffusion tensor image features predict idh genotype in newly diagnosed who grade ii/iii gliomas,10.1038/s41598-017-13679-4,2017,BRATS,Brain
advancing the cancer genome atlas glioma mri collections with expert segmentation labels and radiomic features,10.1038/sdata.2017.117,2017,BRATS,Brain
emerging applications of artificial intelligence in                     neuro-oncology,10.1148/radiol.2018181928,2019,BRATS,Brain
deep learning and neurology: a systematic review,10.1007/s40120-019-00153-8,2019,BRATS,Brain
interactive medical image segmentation using deep learning with image-specific fine tuning,10.1109/tmi.2018.2791721,2018,BRATS,Brain
glioblastoma and survival prediction,10.1007/978-3-319-75238-9_31,2018,BRATS,Brain
hybrid two-stage active contour method with region and edge information for intensity inhomogeneous image segmentation,10.1371/journal.pone.0191827,2018,BRATS,Brain
a modality-adaptive method for segmenting brain tumors and organs-at-risk in radiation therapy planning,10.1016/j.media.2019.03.005,2019,BRATS,Brain
automated segmentation of colorectal tumor in 3d mri using 3d multiscale densely connected convolutional neural network,10.1155/2019/1075434,2019,BRATS,Brain
simulation of glioblastoma growth using a 3d multispecies tumor model with mass effect,10.1007/s00285-019-01383-y,2019,BRATS,Brain
prediction of idh genotype in gliomas with dynamic susceptibility contrast perfusion mr imaging using an explainable recurrent neural network,10.1093/neuonc/noz095,2019,BRATS,Brain
a new multi-atlas registration framework for multimodal pathological images using conventional monomodal normal atlases,10.1109/tip.2018.2884563,2018,BRATS,Brain
segmentation of peripheral nerves from magnetic resonance neurography: a fully-automatic deep learning-based approach,10.3389/fneur.2018.00777,2018,BRATS,Brain
reorganization of the somatosensory cortex in hemiplegic cerebral palsy associated with impaired sensory tracts,10.1016/j.nicl.2017.10.021,2017,BRATS,Brain
deep learning of imaging phenotype and genotype for predicting overall survival time of glioblastoma patients,10.1109/tmi.2020.2964310,2020,BRATS,Brain
robustness of radiomics for survival prediction of brain tumor patients depending on resection status,10.3389/fncom.2019.00073,2019,BRATS,Brain
impact of image preprocessing methods on reproducibility of radiomic features in multimodal magnetic resonance imaging in glioblastoma,10.1002/acm2.12795,2020,BRATS,Brain
multiscale multimodal analysis of tumor heterogeneity in idh1 mutant vs wild-type diffuse gliomas,10.1371/journal.pone.0219724,2019,BRATS,Brain
integrated biophysical modeling and image analysis: application to neuro-oncology,10.1146/annurev-bioeng-062117-121105,2020,BRATS,Brain
fully automated brain resection cavity delineation for radiation target volume definition in glioblastoma patients using deep learning,10.1186/s13014-020-01553-z,2020,BRATS,Brain
towards more structure: comparing tnm staging completeness and processing time of text-based reports versus fully segmented and annotated pet/ct data of non-small-cell lung cancer,10.1155/2018/5693058,2018,BRATS,Brain
segmentation of parotid glands from registered ct and mr images,10.1016/j.ejmp.2018.06.012,2018,BRATS,Brain
fully automated detection and segmentation of meningiomas using deep learning on routine multiparametric mri,10.1007/s00330-018-5595-8,2019,BRATS,Brain
deep learning and texture-based semantic label fusion for brain tumor segmentation,10.1117/12.2292930,2018,BRATS,Brain
medical image segmentation algorithm based on feedback mechanism cnn,10.1155/2019/6134942,2019,BRATS,Brain
rank-two nmf clustering for glioblastoma characterization,10.1155/2018/1048164,2018,BRATS,Brain
advances in computational human phantoms and their applications in biomedical engineering—a topical review,10.1109/trpms.2018.2883437,2019,BRATS,Brain
correspondence between cerebral glucose metabolism and bold reveals relative power and cost in human brain,10.1038/s41467-019-08546-x,2019,BRATS,Brain
fellow in a box: combining ai and domain knowledge with bayesian                     networks for differential diagnosis in neuroimaging,10.1148/radiol.2020200819,2020,BRATS,Brain
systematic evaluation of image tiling adverse effects on deep learning semantic segmentation,10.3389/fnins.2020.00065,2020,BRATS,Brain
demystifying brain tumor segmentation networks: interpretability and uncertainty analysis,10.3389/fncom.2020.00006,2020,BRATS,Brain
segmenting brain tumor using cascaded v-nets in multimodal mr images,10.3389/fncom.2020.00009,2020,BRATS,Brain
application of deep learning in automated analysis of molecular images in cancer: a survey,10.1155/2017/9512370,2017,BRATS,Brain
standardized assessment of automatic segmentation of white matter hyperintensities and results of the wmh segmentation challenge,10.1109/tmi.2019.2905770,2019,BRATS,Brain
supervised brain tumor segmentation based on gradient and context-sensitive features,10.3389/fnins.2019.00144,2019,BRATS,Brain
cross‐modality (ct‐mri) prior augmented deep learning for robust lung tumor segmentation from small mr datasets,10.1002/mp.13695,2019,BRATS,Brain
brain tumor segmentation and survival prediction using multimodal mri scans with deep learning,10.3389/fnins.2019.00810,2019,BRATS,Brain
anatomically consistent cnn-based segmentation of organs-at-risk in cranial radiotherapy,10.1117/1.jmi.7.1.014502,2020,BRATS,Brain
divide and conquer: stratifying training data by tumor grade improves deep learning-based brain tumor segmentation,10.3389/fnins.2019.01182,2019,BRATS,Brain
brain extraction from normal and pathological images: a joint pca/image-reconstruction approach,10.1016/j.neuroimage.2018.04.073,2018,BRATS,Brain
feature-guided deep radiomics for glioblastoma patient survival prediction,10.3389/fnins.2019.00966,2019,BRATS,Brain
denoising and contrast-enhancement approach of magnetic resonance imaging glioblastoma brain tumors,10.1117/1.jmi.6.4.044002,2019,BRATS,Brain
brain cancer imaging phenomics toolkit (brain-captk): an interactive platform for quantitative analysis of glioblastoma,10.1007/978-3-319-75238-9_12,2018,BRATS,Brain
automatic glioma segmentation based on adaptive superpixel,10.1186/s12880-019-0369-6,2019,BRATS,Brain
multimodal 3d densenet for idh genotype prediction in gliomas,10.3390/genes9080382,2018,BRATS,Brain
mining multi-site clinical data to develop machine learning mri biomarkers: application to neonatal hypoxic ischemic encephalopathy,10.1186/s12967-019-2119-5,2019,BRATS,Brain
deep learning-based concurrent brain registration and tumor segmentation,10.3389/fncom.2020.00017,2020,BRATS,Brain
automated glioma detection and segmentation using graphical models,10.1371/journal.pone.0200745,2018,BRATS,Brain
a new optimized thresholding method using ant colony algorithm for mr brain image segmentation,10.1007/s10278-018-0111-x,2019,BRATS,Brain
reliability of tumor segmentation in glioblastoma: impact on the robustness of mri‐radiomic features,10.1002/mp.13624,2019,BRATS,Brain
computer-aided grading of gliomas combining automatic segmentation and radiomics,10.1155/2018/2512037,2018,BRATS,Brain
automatic semantic segmentation of brain gliomas from mri images using a deep cascaded neural network,10.1155/2018/4940593,2018,BRATS,Brain
manually-parcellated gyral data accounting for all known anatomical variability,10.1038/sdata.2019.1,2019,BRATS,Brain
manual segmentation versus semi-automated segmentation for quantifying vestibular schwannoma volume on mri,10.1007/s11548-020-02222-y,2020,BRATS,Brain
an interval iteration based multilevel thresholding algorithm for brain mr image segmentation,10.3390/e23111429,2021,BRATS,Brain
a computed tomography vertebral segmentation dataset with anatomical variations and multi-vendor scanner data,10.1038/s41597-021-01060-0,2021,BRATS,Brain
external validation of deep learning-based contouring of head and neck organs at risk,10.1016/j.phro.2020.06.006,2020,BRATS,Brain
deep volumetric segmentation of murine cochlear compartments from micro-computed tomography images,10.1109/embc44109.2020.9176596,2020,BRATS,Brain
brain mr image enhancement for tumor segmentation using 3d u-net,10.3390/s21227528,2021,BRATS,Brain
a new model for brain tumor detection using ensemble transfer learning and quantum variational classifier,10.1155/2022/3236305,2022,BRATS,Brain
a deep network for joint registration and reconstruction of images with pathologies,10.1007/978-3-030-59861-7_35,2020,BRATS,Brain
a novel fully automated mri-based deep-learning method for classification of 1p/19q co-deletion status in brain gliomas,10.1093/noajnl/vdaa066,2020,BRATS,Brain
confidence calibration and predictive uncertainty estimation for deep medical image segmentation,10.1109/tmi.2020.3006437,2020,BRATS,Brain
psigan: joint probabilistic segmentation and image distribution matching for unpaired cross-modality adaptation-based mri segmentation,10.1109/tmi.2020.3011626,2020,BRATS,Brain
a weakly supervised deep learning-based method for glioma subtype classification using wsi and mpmris,10.1038/s41598-022-09985-1,2022,BRATS,Brain
cascaded mutual enhancing networks for brain tumor subregion segmentation in multiparametric mri,10.1088/1361-6560/ac5ed8,2022,BRATS,Brain
an efficient magnetic resonance image data quality screening dashboard,10.1002/acm2.13557,2022,BRATS,Brain
deep learning‐based convolutional neural network for intramodality brain mri synthesis,10.1002/acm2.13530,2022,BRATS,Brain
artificial intelligence and machine learning for medical imaging: a technology review,10.1016/j.ejmp.2021.04.016,2021,BRATS,Brain
accelerated 3d whole-brain t1 t2 and proton density mapping: feasibility for clinical glioma mr imaging,10.1007/s00234-021-02703-0,2021,BRATS,Brain
bias: transparent reporting of biomedical image analysis challenges,10.1016/j.media.2020.101796,2020,BRATS,Brain
survival of glioblastoma in relation to tumor location: a statistical tumor atlas of a population-based cohort,10.1007/s00701-021-04802-6,2021,BRATS,Brain
survey of image processing techniques for brain pathology diagnosis: challenges and opportunities,10.3389/frobt.2018.00120,2018,BRATS,Brain
