name,DOI,publication_year,dataset_used,task
None,10.1186/s41747-022-00288-8,2022,PROMISE12,Cardiac
None,10.21037/qims-22-332,2022,PROMISE12,Cardiac
None,10.1016/j.asmr.2022.04.020,2022,PROMISE12,Cardiac
None,10.1016/j.cmpb.2022.106883,2022,Medical Decathlon,Prostate
None,10.1007/s42979-022-01166-1,2022,Medical Decathlon,Prostate
None,10.1002/jmri.27978,2022,Medical Decathlon,Prostate
None,10.3390/bioengineering9090467,2022,Medical Decathlon,Prostate
None,10.3390/diagnostics12071690,2022,Medical Decathlon,Prostate
None,10.3390/bioengineering9080343,2022,Medical Decathlon,Prostate
None,10.3389/fnins.2022.1009581,2022,Medical Decathlon,Prostate
None,10.1007/s11548-022-02730-z,2022,Medical Decathlon,Prostate
None,10.1016/j.media.2022.102596,2022,Medical Decathlon,Prostate
None,10.1038/s41598-022-16828-6,2022,Medical Decathlon,Prostate
None,10.1148/radiol.2018181928,2019,BRATS,Brain
None,10.1007/s40120-019-00153-8,2019,BRATS,Brain
None,10.1109/TMI.2018.2791721,2018,BRATS,Brain
None,10.1007/978-3-319-75238-9_31,2018,BRATS,Brain
None,10.1371/journal.pone.0191827,2018,BRATS,Brain
None,10.1016/j.media.2019.03.005,2019,BRATS,Brain
None,10.1155/2019/1075434,2019,BRATS,Brain
None,10.1007/s00285-019-01383-y,2019,BRATS,Brain
None,10.1093/neuonc/noz095,2019,BRATS,Brain
None,10.1109/TIP.2018.2884563,2018,BRATS,Brain
None,10.3389/fneur.2018.00777,2018,BRATS,Brain
None,10.1016/j.nicl.2017.10.021,2017,BRATS,Brain
None,10.1109/TMI.2020.2964310,2020,BRATS,Brain
None,10.3389/fncom.2019.00073,2019,BRATS,Brain
None,10.1002/acm2.12795,2020,BRATS,Brain
None,10.1371/journal.pone.0219724,2019,BRATS,Brain
None,10.1146/annurev-bioeng-062117-121105,2020,BRATS,Brain
None,10.1186/s13014-020-01553-z,2020,BRATS,Brain
None,10.1155/2018/5693058,2018,BRATS,Brain
None,10.1016/j.ejmp.2018.06.012,2018,BRATS,Brain
None,10.1007/s00330-018-5595-8,2019,BRATS,Brain
None,10.1117/12.2292930,2018,BRATS,Brain
None,10.1155/2019/6134942,2019,BRATS,Brain
None,10.1155/2018/1048164,2018,BRATS,Brain
None,10.1109/TRPMS.2018.2883437,2019,BRATS,Brain
None,10.1038/s41467-019-08546-x,2019,BRATS,Brain
None,10.1148/radiol.2020200819,2020,BRATS,Brain
None,10.3389/fnins.2020.00065,2020,BRATS,Brain
None,10.3389/fncom.2020.00006,2020,BRATS,Brain
None,10.3389/fncom.2020.00009,2020,BRATS,Brain
None,10.1155/2017/9512370,2017,BRATS,Brain
None,10.1109/TMI.2019.2905770,2019,BRATS,Brain
None,10.3389/fnins.2019.00144,2019,BRATS,Brain
None,10.1002/mp.13695,2019,BRATS,Brain
None,10.3389/fnins.2019.00810,2019,BRATS,Brain
None,10.1117/1.JMI.7.1.014502,2020,BRATS,Brain
None,10.3389/fnins.2019.01182,2019,BRATS,Brain
None,10.1016/j.neuroimage.2018.04.073,2018,BRATS,Brain
None,10.3389/fnins.2019.00966,2019,BRATS,Brain
None,10.1117/1.JMI.6.4.044002,2019,BRATS,Brain
None,10.1007/978-3-319-75238-9_12,2018,BRATS,Brain
None,10.1186/s12880-019-0369-6,2019,BRATS,Brain
None,10.3390/genes9080382,2018,BRATS,Brain
None,10.1186/s12967-019-2119-5,2019,BRATS,Brain
None,10.3389/fncom.2020.00017,2020,BRATS,Brain
None,10.1371/journal.pone.0200745,2018,BRATS,Brain
None,10.1007/s10278-018-0111-x,2019,BRATS,Brain
None,10.1002/mp.13624,2019,BRATS,Brain
None,10.1155/2018/2512037,2018,BRATS,Brain
None,10.1155/2018/4940593,2018,BRATS,Brain
None,10.1038/sdata.2019.1,2019,BRATS,Brain
None,10.1007/s11548-020-02222-y,2020,BRATS,Brain
None,10.3390/e23111429,2021,BRATS,Brain
None,10.3389/fneur.2021.609646,2021,BRATS,Brain
None,10.3174/ajnr.A6875,2021,BRATS,Brain
None,10.1109/JBHI.2020.2991043,2020,BRATS,Brain
None,10.1002/ana.26303,2022,BRATS,Brain
None,10.1117/1.JMI.9.1.014001,2022,BRATS,Brain
None,10.1117/1.JMI.8.2.024002,2021,BRATS,Brain
None,10.1093/neuonc/noab238,2022,BRATS,Brain
None,10.1186/s12880-021-00728-8,2022,BRATS,Brain
None,10.1007/978-3-030-46640-4_6,2019,BRATS,Brain
None,10.1007/s12021-020-09477-5,2021,BRATS,Brain
None,10.1148/radiol.2021203786,2021,BRATS,Brain
None,10.3389/fonc.2022.796583,2022,BRATS,Brain
None,10.1016/j.compmedimag.2021.102026,2022,BRATS,Brain
None,10.21037/qims-20-595,2021,BRATS,Brain
None,10.1007/978-3-030-78191-0_25,2021,BRATS,Brain
None,10.3390/s22062084,2022,BRATS,Brain
None,10.3390/s22062406,2022,BRATS,Brain
None,10.1038/s41598-021-82716-0,2021,BRATS,Brain
None,10.3390/jimaging8030055,2022,BRATS,Brain
None,10.1109/TMI.2020.3046444,2021,BRATS,Brain
None,10.1007/978-3-030-87196-3_51,2021,BRATS,Brain
None,10.3390/cancers14102530,2022,BRATS,Brain
None,10.3390/jpm11121336,2021,BRATS,Brain
None,10.3389/fonc.2021.661123,2021,BRATS,Brain
None,10.2196/19805,2020,BRATS,Brain
None,10.3389/fonc.2021.734433,2021,BRATS,Brain
None,10.1155/2021/9025470,2021,BRATS,Brain
None,10.1186/s12911-021-01431-y,2021,BRATS,Brain
None,10.1109/iccv.2019.00028,2019,BRATS,Brain
None,10.1016/j.media.2020.101840,2021,BRATS,Brain
None,10.3390/app11167488,2021,BRATS,Brain
None,10.1007/s40336-022-00487-8,2022,BRATS,Brain
None,10.1016/j.bspc.2019.101648,2020,BRATS,Brain
None,10.3389/fonc.2021.788819,2021,BRATS,Brain
None,10.1038/s41598-021-90428-8,2021,BRATS,Brain
None,10.1038/s41598-021-90555-2,2021,BRATS,Brain
None,10.3390/e23030279,2021,BRATS,Brain
None,10.1148/ryai.2021210031,2021,BRATS,Brain
None,10.1002/mp.14539,2020,BRATS,Brain
None,10.1002/nbm.4408,2021,BRATS,Brain
None,10.1007/s10278-021-00574-8,2022,BRATS,Brain
None,10.3390/diagnostics12020247,2022,BRATS,Brain
None,10.3390/diagnostics12020345,2022,BRATS,Brain
None,10.1038/s41598-020-75015-7,2020,BRATS,Brain
None,10.3389/fnins.2021.634557,2021,BRATS,Brain
None,10.1007/s10278-021-00486-7,2021,BRATS,Brain
None,10.3390/cancers13235921,2021,BRATS,Brain
None,10.3390/cancers13236113,2021,BRATS,Brain
None,10.3390/jcm10092030,2021,BRATS,Brain
None,10.1155/2022/8000781,2022,BRATS,Brain
None,10.1136/bmjopen-2020-043665,2021,BRATS,Brain
None,10.1117/1.JMI.7.6.064006,2020,BRATS,Brain
None,10.1155/2021/4273963,2021,BRATS,Brain
None,10.3390/cancers13030424,2021,BRATS,Brain
None,10.3390/cancers13184674,2021,BRATS,Brain
None,10.3390/diagnostics11091589,2021,BRATS,Brain
None,10.1016/j.ejmp.2021.05.003,2021,BRATS,Brain
None,10.1186/s13244-021-01102-6,2021,BRATS,Brain
None,10.1007/s10278-022-00602-1,2022,BRATS,Brain
None,10.4103/jmss.JMSS_43_20,2021,BRATS,Brain
None,10.3389/fonc.2022.816638,2022,BRATS,Brain
None,10.1371/journal.pone.0173112,2017,BRATS,Brain
None,10.18383/j.tom.2016.00265,2016,BRATS,Brain
None,10.3389/fncom.2019.00058,2019,BRATS,Brain
None,10.1016/j.media.2018.08.004,2018,BRATS,Brain
None,10.1148/radiol.2019190613,2019,BRATS,Brain
None,10.1049/htl.2017.0013,2018,BRATS,Brain
None,10.1117/1.JMI.5.1.015006,2018,BRATS,Brain
None,10.1002/mrm.27500,2019,BRATS,Brain
None,10.3389/fnins.2020.00125,2020,BRATS,Brain
None,10.3389/fnins.2020.00350,2020,BRATS,Brain
None,10.1148/ryai.2020190011,2020,BRATS,Brain
None,10.3390/cancers11060829,2019,BRATS,Brain
None,10.1186/s12880-019-0348-y,2019,BRATS,Brain
None,10.1038/s41597-020-0526-3,2020,BRATS,Brain
None,10.3969/j.issn.1673-4254.2018.06.04,2018,BRATS,Brain
None,10.1109/ISBI.2017.7950456,2017,BRATS,Brain
None,10.1148/radiol.2020192224,2020,BRATS,Brain
None,10.1371/journal.pone.0187209,2017,BRATS,Brain
None,10.1148/radiol.2020191621,2020,BRATS,Brain
None,10.1117/1.JMI.7.3.031505,2020,BRATS,Brain
None,10.1093/neuonc/noz162,2019,BRATS,Brain
None,10.1038/s41598-017-14753-7,2017,BRATS,Brain
None,10.18383/j.tom.2018.00016,2018,BRATS,Brain
None,10.1016/j.neuroimage.2018.08.003,2018,BRATS,Brain
None,10.1002/jmri.27129,2020,BRATS,Brain
None,10.1093/neuonc/noz184,2020,BRATS,Brain
None,10.3389/fnins.2019.00333,2019,BRATS,Brain
None,10.3174/ajnr.A5543,2018,BRATS,Brain
None,10.1155/2019/9414937,2019,BRATS,Brain
None,10.1016/j.nicl.2019.101727,2019,BRATS,Brain
None,10.1155/2019/1758948,2019,BRATS,Brain
None,10.7717/peerj.5982,2018,BRATS,Brain
None,10.1002/jmri.26907,2020,BRATS,Brain
None,10.3389/fncom.2019.00056,2019,BRATS,Brain
None,10.3389/fnins.2020.00027,2020,BRATS,Brain
None,10.1007/s12021-018-9385-x,2019,BRATS,Brain
None,10.1117/1.JMI.4.4.041311,2017,BRATS,Brain
None,10.1109/ISBI.2018.8363864,2018,BRATS,Brain
None,10.3389/fnins.2019.01449,2020,BRATS,Brain
None,10.3389/fncom.2020.00003,2020,BRATS,Brain
None,10.18383/j.tom.2019.00026,2020,BRATS,Brain
None,10.1007/978-3-319-46630-9_10,2016,BRATS,Brain
None,10.1016/j.mri.2018.11.014,2019,BRATS,Brain
None,10.1038/s41598-017-18453-0,2018,BRATS,Brain
None,10.1117/1.JMI.6.2.024501,2019,BRATS,Brain
None,10.18383/j.tom.2019.00010,2019,BRATS,Brain
None,10.1016/j.nicl.2020.102185,2020,BRATS,Brain
None,10.1109/TMI.2019.2959609,2020,BRATS,Brain
None,10.1038/s41598-020-63242-x,2020,BRATS,Brain
None,10.1002/mp.14168,2020,BRATS,Brain
None,10.1007/s10278-018-0117-4,2019,BRATS,Brain
None,10.1016/j.mri.2019.04.012,2019,BRATS,Brain
None,10.1038/s41598-019-49740-7,2019,BRATS,Brain
None,10.1109/TIP.2019.2919937,2019,BRATS,Brain
None,10.1038/sdata.2018.251,2018,BRATS,Brain
None,10.3389/fnins.2020.00282,2020,BRATS,Brain
None,10.3389/fncom.2020.00025,2020,BRATS,Brain
None,10.1109/TPAMI.2018.2840695,2019,BRATS,Brain
None,10.1109/TMI.2018.2824243,2018,BRATS,Brain
None,10.1109/TVCG.2018.2796085,2019,BRATS,Brain
None,10.1117/1.JMI.6.3.034002,2019,BRATS,Brain
None,10.1186/s13007-020-0563-0,2020,BRATS,Brain
None,10.1002/cam4.1863,2018,BRATS,Brain
None,10.1007/978-3-319-66179-7_10,2017,BRATS,Brain
None,10.3348/kjr.2018.0070,2019,BRATS,Brain
None,10.1038/s41598-020-60550-0,2020,BRATS,Brain
None,10.1038/s41598-020-60520-6,2020,BRATS,Brain
None,10.15265/IY-2017-041,2017,BRATS,Brain
None,10.1155/2017/4037190,2017,BRATS,Brain
None,10.1155/2017/9283480,2017,BRATS,Brain
None,10.1007/s11548-020-02186-z,2020,BRATS,Brain
None,10.3389/fncom.2020.00032,2020,BRATS,Brain
None,10.1097/RLI.0000000000000484,2018,BRATS,Brain
None,10.1007/s11548-019-02011-2,2019,BRATS,Brain
None,10.1002/hbm.24750,2019,BRATS,Brain
None,10.1016/j.neucom.2019.01.103,2019,BRATS,Brain
None,10.1016/j.nicl.2019.102118,2020,BRATS,Brain
None,10.1186/s12880-020-0409-2,2020,BRATS,Brain
None,10.1007/s10278-020-00347-9,2020,BRATS,Brain
None,10.1117/1.JMI.6.4.044001,2019,BRATS,Brain
None,10.1007/s00259-020-04897-6,2020,BRATS,Brain
None,10.1117/1.JMI.6.2.024005,2019,BRATS,Brain
None,10.1038/s41598-020-64803-w,2020,BRATS,Brain
None,10.3389/fnhum.2018.00166,2018,BRATS,Brain
None,10.4251/wjgo.v11.i12.1218,2019,BRATS,Brain
None,10.1038/s41598-018-22980-9,2018,BRATS,Brain
None,10.3389/fnins.2019.00844,2019,BRATS,Brain
None,10.3174/ajnr.A5675,2018,BRATS,Brain
None,10.1038/s41467-018-07619-7,2018,BRATS,Brain
None,10.3389/fncom.2019.00081,2019,BRATS,Brain
None,10.3389/fncom.2019.00083,2019,BRATS,Brain
None,10.3389/fncom.2019.00084,2019,BRATS,Brain
None,10.1007/978-3-030-11723-8_9,2019,BRATS,Brain
None,10.1109/TMI.2018.2857800,2019,BRATS,Brain
None,10.1016/j.media.2019.101539,2019,BRATS,Brain
None,10.1093/neuonc/noz199,2020,BRATS,Brain
None,10.1186/s40644-019-0256-y,2019,BRATS,Brain
None,10.3389/fncom.2019.00052,2019,BRATS,Brain
None,10.1038/s41598-018-21678-2,2018,BRATS,Brain
None,10.1007/s00066-020-01626-8,2020,BRATS,Brain
None,10.1016/j.cmpb.2018.01.025,2018,BRATS,Brain
None,10.1371/journal.pone.0228972,2020,BRATS,Brain
None,10.3390/diagnostics10020110,2020,BRATS,Brain
None,10.1007/978-3-030-32226-7_25,2019,BRATS,Brain
None,10.3389/fncom.2019.00044,2019,BRATS,Brain
None,10.1117/1.JMI.6.3.034001,2019,BRATS,Brain
None,10.3389/fncom.2020.00010,2020,BRATS,Brain
None,10.1109/TMI.2019.2901712,2019,BRATS,Brain
None,10.1155/2022/3514988,2022,BRATS,Brain
None,10.1007/978-3-031-09002-8_1,2021,BRATS,Brain
None,10.1038/s41598-022-13739-4,2022,BRATS,Brain
None,10.1097/RMR.0000000000000296,2022,BRATS,Brain
None,10.3390/s22176501,2022,BRATS,Brain
None,10.1038/s41598-022-18173-0,2022,BRATS,Brain
None,10.1038/s41597-022-01560-7,2022,BRATS,Brain
None,10.1002/acm2.13739,2022,BRATS,Brain
None,10.3389/fonc.2022.969907,2022,BRATS,Brain
None,10.1002/acm2.13758,2022,BRATS,Brain
None,10.1136/bmjopen-2021-059000,2022,BRATS,Brain
None,10.1155/2022/8750648,2022,BRATS,Brain
None,10.3390/brainsci12091145,2022,BRATS,Brain
None,10.3390/cancers14184399,2022,BRATS,Brain
None,10.1007/s00330-022-09113-7,2022,BRATS,Brain
None,10.3389/fnins.2022.916818,2022,BRATS,Brain
None,10.1038/s41597-022-01415-1,2022,BRATS,Brain
None,10.3389/fonc.2022.942511,2022,BRATS,Brain
None,10.3389/fonc.2022.892056,2022,BRATS,Brain
None,10.1155/2022/6305748,2022,BRATS,Brain
None,10.1155/2022/8747487,2022,BRATS,Brain
None,10.1371/journal.pone.0096873,2014,BRATS,Brain
None,10.1038/sdata.2015.3,2015,BRATS,Brain
None,10.1371/journal.pone.0125143,2015,BRATS,Brain
None,10.1016/j.media.2017.10.002,2018,BRATS,Brain
None,10.1186/s40644-015-0047-z,2015,BRATS,Brain
None,10.1016/j.nicl.2017.02.007,2017,BRATS,Brain
None,10.1371/journal.pone.0173900,2017,BRATS,Brain
None,10.1016/j.neuroimage.2015.08.002,2015,BRATS,Brain
None,10.1080/02656736.2017.1319974,2018,BRATS,Brain
None,10.1109/TMI.2015.2502596,2016,BRATS,Brain
None,10.1038/srep25007,2016,BRATS,Brain
None,10.1155/2016/8356294,2016,BRATS,Brain
None,10.1007/978-3-319-10404-1_95,2014,BRATS,Brain
None,10.1371/journal.pone.0185844,2017,BRATS,Brain
None,10.1117/12.2254034,2017,BRATS,Brain
None,10.3389/fnsys.2015.00030,2015,BRATS,Brain
None,10.1155/2017/8381094,2017,BRATS,Brain
None,10.1371/journal.pone.0165302,2016,BRATS,Brain
None,10.1186/s12880-017-0198-4,2017,BRATS,Brain
None,10.1093/neuonc/now086,2016,BRATS,Brain
None,10.1109/ISBI.2015.7164170,2015,BRATS,Brain
None,10.1038/sdata.2016.3,2016,BRATS,Brain
None,10.18383/j.tom.2016.00166,2016,BRATS,Brain
None,10.1002/mp.12481,2017,BRATS,Brain
None,10.1109/TMI.2016.2528162,2016,BRATS,Brain
None,10.18383/j.tom.2016.00181,2016,BRATS,Brain
None,10.1186/s12938-016-0153-6,2016,BRATS,Brain
None,10.1371/journal.pone.0180268,2017,BRATS,Brain
None,10.1109/BHI.2016.7455914,2016,BRATS,Brain
None,10.1016/j.neuroimage.2016.12.064,2017,BRATS,Brain
None,10.1016/j.nicl.2017.06.016,2017,BRATS,Brain
None,10.1007/s10278-017-9983-4,2017,BRATS,Brain
None,10.1117/1.JMI.4.3.034001,2017,BRATS,Brain
None,10.1088/1361-6560/aa7c41,2017,BRATS,Brain
None,10.1016/j.media.2015.06.012,2015,BRATS,Brain
None,10.1371/journal.pone.0164891,2016,BRATS,Brain
None,10.1371/journal.pone.0146388,2016,BRATS,Brain
None,10.1038/s41598-017-05848-2,2017,BRATS,Brain
None,10.1088/1361-6560/aa9262,2017,BRATS,Brain
None,10.1016/j.neuroimage.2020.117081,2020,BRATS,Brain
None,10.1016/j.media.2020.101862,2021,BRATS,Brain
None,10.1093/noajnl/vdab004,2021,BRATS,Brain
None,10.1038/s41598-020-69250-1,2020,BRATS,Brain
None,10.1109/cvpr46437.2021.00245,2021,BRATS,Brain
None,10.3390/jpm10040224,2020,BRATS,Brain
None,10.1136/bmjopen-2020-042660,2021,BRATS,Brain
None,10.1016/j.neuroimage.2021.117756,2021,BRATS,Brain
None,10.1002/nbm.4754,2022,BRATS,Brain
None,10.1007/s00330-022-08807-2,2022,BRATS,Brain
None,10.1371/journal.pone.0267213,2022,BRATS,Brain
None,10.1155/2022/7882924,2022,BRATS,Brain
None,10.1038/s41597-021-01060-0,2021,BRATS,Brain
None,10.1016/j.phro.2020.06.006,2020,BRATS,Brain
None,10.1109/EMBC44109.2020.9176596,2020,BRATS,Brain
None,10.3390/s21227528,2021,BRATS,Brain
None,10.1155/2022/3236305,2022,BRATS,Brain
None,10.1007/978-3-030-59861-7_35,2020,BRATS,Brain
None,10.1093/noajnl/vdaa066,2020,BRATS,Brain
None,10.1109/TMI.2020.3006437,2020,BRATS,Brain
None,10.1109/TMI.2020.3011626,2020,BRATS,Brain
None,10.1038/s41598-022-09985-1,2022,BRATS,Brain
None,10.1088/1361-6560/ac5ed8,2022,BRATS,Brain
None,10.1002/acm2.13557,2022,BRATS,Brain
None,10.1002/acm2.13530,2022,BRATS,Brain
None,10.1016/j.ejmp.2021.04.016,2021,BRATS,Brain
None,10.1007/s00234-021-02703-0,2021,BRATS,Brain
None,10.1016/j.media.2020.101796,2020,BRATS,Brain
None,10.1007/s00701-021-04802-6,2021,BRATS,Brain
None,10.3389/frobt.2018.00120,2018,BRATS,Brain
None,10.1016/j.tranon.2021.101065,2021,BRATS,Brain
None,10.1093/noajnl/vdab073,2021,BRATS,Brain
None,10.1093/neuonc/noaa177,2021,BRATS,Brain
None,10.1038/s41598-022-10285-x,2022,BRATS,Brain
None,10.1007/s10921-020-00740-y,2021,BRATS,Brain
None,10.1007/s12065-020-00540-3,2022,BRATS,Brain
None,10.3389/fonc.2022.856346,2022,BRATS,Brain
None,10.3174/ajnr.A7071,2021,BRATS,Brain
None,10.1038/s41598-020-74419-9,2020,BRATS,Brain
None,10.3389/fnins.2021.782968,2021,BRATS,Brain
None,10.21037/qims-21-15,2022,BRATS,Brain
None,10.1038/s41598-020-69920-0,2020,BRATS,Brain
None,10.3389/fonc.2020.01640,2020,BRATS,Brain
None,10.1117/1.JMI.7.5.055501,2020,BRATS,Brain
None,10.3389/fnins.2021.740353,2021,BRATS,Brain
None,10.3390/cancers13122854,2021,BRATS,Brain
None,10.3390/diagnostics11071159,2021,BRATS,Brain
None,10.3390/jimaging7120269,2021,BRATS,Brain
None,10.1148/ryai.210095,2022,BRATS,Brain
None,10.3389/fonc.2022.823812,2022,BRATS,Brain
None,10.1109/JBHI.2022.3149754,2022,BRATS,Brain
None,10.1186/s12911-021-01687-4,2021,BRATS,Brain
None,10.3390/cancers13061415,2021,BRATS,Brain
None,10.3390/jpm10030128,2020,BRATS,Brain
None,10.1007/s00701-020-04483-7,2020,BRATS,Brain
None,10.1186/s12911-021-01392-2,2021,BRATS,Brain
None,10.1038/s41598-021-87887-4,2021,BRATS,Brain
None,10.1098/rsif.2021.0922,2022,BRATS,Brain
None,10.1016/j.media.2021.102265,2022,BRATS,Brain
None,10.3390/cancers14061475,2022,BRATS,Brain
None,10.3390/cancers14061481,2022,BRATS,Brain
None,10.1007/978-3-319-67558-9_28,2017,BRATS,Brain
None,10.1155/2020/8620403,2020,BRATS,Brain
None,10.1016/j.media.2021.102309,2022,BRATS,Brain
None,10.1186/s12880-020-00485-0,2020,BRATS,Brain
None,10.1186/s13014-020-01618-z,2020,BRATS,Brain
None,10.1002/cnr2.1226,2019,BRATS,Brain
None,10.1007/s41870-021-00850-4,2022,BRATS,Brain
None,10.1007/978-3-030-59728-3_71,2020,BRATS,Brain
None,10.1186/s12880-021-00639-8,2021,BRATS,Brain
None,10.3389/fncom.2020.00061,2020,BRATS,Brain
None,10.3389/fmed.2021.653925,2021,BRATS,Brain
None,10.3389/fninf.2021.805669,2022,BRATS,Brain
None,10.14791/btrt.2021.0031,2022,BRATS,Brain
None,10.3389/fnagi.2022.826622,2022,BRATS,Brain
None,10.3389/fonc.2021.756828,2022,BRATS,Brain
None,10.3390/s22051960,2022,BRATS,Brain
None,10.3390/diagnostics11020169,2021,BRATS,Brain
None,10.3389/fonc.2021.679952,2021,BRATS,Brain
